Transaction Description,Category
Car maintenance from Airbnb,Transportation
Netflix subscription from Airbnb,Entertainment
New running shoes from Uber,Health
Uber ride to office,Transportation
groceries at Walmart,Food
cinema tickets for family night,Entertainment
new Samsung TV,Shopping
dog food at PetSmart,Pets
Netflix monthly subscription,Entertainment
gym membership fee,Health
gas bill,Utilities
train ticket to work,Transportation
McDonald's breakfast,Food
office chair for home workspace,Office
flight tickets to Hawaii,Travel
bought a new fridge,Home
outdoor camping tent from Amazon,Outdoor
doctor consultation,Health
kindergarten fees for child,Education
family dinner at Olive Garden,Food
birthday gift for cousin,Family
dog grooming service,Pets
yoga class subscription,Health
Burger King meal,Food
trainers from Nike store,Shopping
annual donation to WWF,Charity
water bill,Utilities
weekend road trip expenses,Travel
baby stroller,Family
new bed for guest room,Home
car rental for business trip,Transportation
movie tickets for date night,Entertainment
concert tickets for Taylor Swift,Entertainment
Apple Watch purchase,Shopping
snacks for road trip,Food
new curtains for living room,Home
piano lessons for child,Education
cat litter from Petco,Pets
ferry ticket to the island,Travel
water heater repair,Home
paintball event with friends,Outdoor
new laptop for office work,Office
fast food lunch at Taco Bell,Food
pizza delivery from Domino's,Food
monthly donation to local shelter,Charity
Uber to the airport,Transportation
weekly groceries at Trader Joe's,Food
dog collar and leash,Pets
weekend zoo tickets for the family,Entertainment
textbooks for university,Education
ambulance ride after sprain,Health
swimming pool maintenance,Home
fridge repair service,Home
bought a new mountain bike,Outdoor
round trip bus fare,Transportation
new desk for home office,Office
bought a trampoline for backyard,Outdoor
cheesecake from bakery,Food
online course for programming,Education
cat toys from PetSmart,Pets
vacation booking in Paris,Travel
kind donation to children's hospital,Charity
monthly internet bill,Utilities
yoga mat for fitness,Health
swimming lessons for kids,Education
new oven for kitchen,Home
family day at Disneyland,Entertainment
subway ticket to downtown,Transportation
breakfast sandwich,Food
donated old clothes to charity,Charity
new gaming console,Shopping
family photo printing,Family
monthly gym membership,Health
weekend camping supplies,Outdoor
home gardening tools,Home
rented electric scooter,Transportation
cat food from Petco,Pets
bought textbooks for online course,Education
soccer game tickets,Entertainment
round trip flight to Miami,Travel
plumber service for clogged sink,Home
new home security system,Home
weekly donations to local church,Charity
weekly meal prep ingredients,Food
conference room rental,Office
fitness tracker for running,Shopping
new microwave for kitchen,Home
birthday cake for sister,Family
waterpark tickets for kids,Entertainment
road trip fuel,Transportation
vet visit for vaccinations,Pets
airfare for family vacation,Travel
new bed sheets and pillowcases,Home
subway pass for the month,Transportation
university enrollment fee,Education
climbing gear for hiking trip,Outdoor
pizza night with friends,Food
dog treats and chew toys,Pets
monthly phone bill,Utilities
holiday gift for parents,Family
rented beach house for weekend,Travel
tutoring service for math,Education
ice cream from Cold Stone,Food
ski trip with colleagues,Outdoor
new smartphone from Samsung,Shopping
bought printer for home office,Office
theater tickets for play,Entertainment
air conditioning maintenance,Home
organic produce from farmers market,Food
birthday present for nephew,Family
donated books to local library,Charity
bus pass renewal,Transportation
new curtains for bedroom,Home
subscription to National Geographic,Entertainment
antivirus software for computer,Office
camping gear from REI,Outdoor
car repairs after road trip,Transportation
online donation to St. Jude,Charity
school uniform for child,Education
soccer shoes for daughter,Family
new ergonomic office chair,Office
dinner at Cheesecake Factory,Food
cat vaccination,Pets
hotel stay for weekend getaway,Travel
therapy session,Health
electric scooter rental for the day,Transportation
home improvement supplies from Home Depot,Home
theme park tickets for kids,Entertainment
rent payment for apartment,Housing
school trip fee,Education
airline ticket to visit family,Travel
monthly electricity payment,Utilities
subway fare to the city,Transportation
bought new glasses,Health
family picnic groceries,Food
rented paddleboards at the lake,Outdoor
bought a new smartphone case,Shopping
dog sitting service,Pets
movie streaming subscription,Entertainment
annual subscription to online course,Education
new tires for the car,Transportation
family brunch at IHOP,Food
monthly gas bill,Utilities
new bike for son,Family
organic fruits from Whole Foods,Food
train fare to neighboring town,Transportation
dog flea medication,Pets
landscaping service for backyard,Home
first aid kit for home,Health
donation to environmental charity,Charity
flight booking for honeymoon,Travel
running shoes for outdoor activities,Outdoor
school books for daughter,Education
grocery run at Costco,Food
subway fare to the stadium,Transportation
family trip to the aquarium,Entertainment
bought a juicer for home,Home
new water heater for house,Home
taxi to conference,Transportation
subscribed to cooking channel,Entertainment
family visit train fare,Transportation
kindergarten supplies for son,Education
donation to homeless shelter,Charity
plane ticket to NYC,Travel
new treadmill for workout,Health
bus fare to downtown,Transportation
outdoor patio furniture,Outdoor
internet service fee,Utilities
groceries at Aldi,Food
camping gear for weekend trip,Outdoor
eye exam at clinic,Health
family reunion tickets,Family
weekend bike rental,Outdoor
fishing trip expenses,Outdoor
online donation to wildlife fund,Charity
new car battery,Transportation
airfare to visit parents,Travel
apple pie from bakery,Food
annual pet vaccination,Pets
hiking boots for nature trip,Outdoor
paint for the living room,Home
weekend hotel stay,Travel
gym shoes for workouts,Shopping
theme park admission fee,Entertainment
rental car for vacation,Transportation
energy bill for apartment,Utilities
conference registration fee,Office
dentist visit,Health
monthly house rent,Housing
